R	53.373	-6.20442	P714	23 Feb 2025	P714\n14:45 - Drogheda to Dublin Connolly (-1 mins late)\nDeparted Killester next stop Dublin Connolly	Southbound
R	53.3755	-6.33135	P744	23 Feb 2025	P744\n15:10 - Maynooth to Dublin Connolly (0 mins late)\nArrived Ashtown next stop Pelletstown	Southbound
R	53.3777	-6.34591	D913	23 Feb 2025	D913\n15:17 - Dublin Connolly to Maynooth (1 mins late)\nDeparted Navan Road Parkway next stop Castleknock	Northbound
R	53.378	-6.58993	A908	23 Feb 2025	A908\n15:05 - Dublin Connolly to Sligo (-1 mins late)\nArrived Maynooth next stop Kilcock	Northbound
R	53.387	-6.16163	E219	23 Feb 2025	E219\n15:25 - Howth to Bray (0 mins late)\nDeparted Kilbarrack next stop Raheny	Southbound
R	53.3909	-6.15672	E910	23 Feb 2025	E910\n14:20 - Greystones to Howth (2 mins late)\nDeparted Howth Junction next stop Bayside	Northbound
R	53.4157	-6.83395	A909	23 Feb 2025	A909\n13:05 - Sligo to Dublin Connolly (3 mins late)\nDeparted Enfield next stop Kilcock	Southbound
R	53.4509	-6.15649	D812	23 Feb 2025	D812\n15:10 - Dublin Connolly to Drogheda (0 mins late)\nDeparted Malahide next stop Donabate	Northbound
R	53.712	-6.33538	A154	23 Feb 2025	A154\n14:50 - Dublin Connolly to Belfast (7 mins late)\nDeparted Drogheda next stop Dundalk	Northbound
R	53.9676	-8.30438	A906	23 Feb 2025	A906\n13:05 - Dublin Connolly to Sligo (0 mins late)\nArrived Boyle next stop Ballymote	Northbound
R	54.0007	-6.41291	A152	23 Feb 2025	A152\n13:50 - Dublin Connolly to Belfast (0 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A153	23 Feb 2025	A153\n14:05 - Belfast to Dublin Connolly (0 mins late)\nDeparted Dundalk next stop Drogheda	Southbound
R	54.0887	-8.52088	A911	23 Feb 2025	A911\n15:05 - Sligo to Dublin Connolly (3 mins late)\nDeparted Ballymote next stop Boyle	Southbound
T	53.378	-6.58993	D912	23 Feb 2025	D912\n14:47 - Dublin Connolly to Maynooth(0 mins late)\nTERMINATED Maynooth at 15:29	Northbound
T	53.4349	-6.46898	D376	23 Feb 2025	D376\n15:18 - Clonsilla to M3 Parkway(0 mins late)\nTERMINATED M3 Parkway at 15:29	Northbound
